repo_name,language,stars,forks,created_at,description
modelcontextprotocol/go-sdk,Go,3505,318,2025-04-23T10:07:33Z,The official Go SDK for Model Context Protocol servers and clients. Maintained in collaboration with
Pimzino/spec-workflow-mcp,TypeScript,3491,291,2025-08-07T13:18:06Z,A Model Context Protocol (MCP) server that provides structured spec-driven development workflow tool
opactorai/Claudable,TypeScript,3484,542,2025-08-20T05:15:16Z,"Claudable is an open-source web builder that leverages local CLI agents, such as Claude Code, Codex,"
Minidoracat/mcp-feedback-enhanced,JavaScript,3476,304,2025-05-29T02:59:56Z,"Enhanced MCP server for interactive user feedback and command execution in AI-assisted development, "
TanStack/db,TypeScript,3467,145,2025-03-11T21:01:29Z,The reactive client store for your API.
MoonshotAI/Kimi-k1.5,Sin especificar,3467,233,2025-01-19T15:42:57Z,
GetStream/Vision-Agents,Python,3465,276,2025-08-11T18:02:04Z,Open Vision Agents by Stream. Build Vision Agents quickly with any model or video provider. Uses Str
presenton/presenton,TypeScript,3462,665,2025-05-10T14:12:46Z,"Open-Source AI Presentation Generator and API (Gamma, Beautiful AI, Decktopus Alternative)"
0voice/Campus_recruitment_interview_questions,Sin especificar,3459,230,2025-07-14T07:23:06Z,2025 最新校招面试题合集， 面向 2026 届应届生，全网最全整理！收录 1000+道真实面试题以及面经，涵盖阿里、腾讯、字节、美团、百度、华为、小米、英伟达、微软、米哈游等百家大中小厂。每题配备
Facepunch/sbox-public,C#,3458,223,2025-11-24T08:18:33Z,"s&box is a modern game engine, built on Valve's Source 2 and the latest .NET technology, it provides"
DavidHDev/vue-bits,Vue,3443,123,2025-07-07T18:48:50Z,"An open source collection of animated, interactive & fully customizable Vue components for building "
ML-GSAI/LLaDA,Python,3436,232,2025-02-13T19:28:36Z,"Official PyTorch implementation for ""Large Language Diffusion Models"""
numman-ali/openskills,TypeScript,3430,250,2025-10-26T19:43:54Z,Universal skills loader for AI coding agents - npm i -g openskills
KoljaB/RealtimeVoiceChat,Python,3428,385,2025-04-19T21:14:45Z,"Have a natural, spoken conversation with AI!"
chonkie-inc/chonkie,Python,3413,218,2025-03-29T05:10:03Z,"🦛 CHONK docs with Chonkie ✨ — The lightweight ingestion library for fast, efficient and robust RAG p"
ed-donner/agents,Jupyter Notebook,3409,2774,2025-03-21T15:53:02Z,Repo for the Complete Agentic AI Engineering Course
coleam00/local-ai-packaged,Python,3405,1273,2025-02-16T21:12:36Z,"Run all your local AI together in one package - Ollama, Supabase, n8n, Open WebUI, and more!"
UnicomAI/wanwu,Go,3385,59,2025-06-06T02:45:28Z,"China Unicom's Yuanjing Wanwu Agent Platform is an enterprise-grade, multi-tenant AI agent developme"
campfirein/cipher,TypeScript,3379,341,2025-06-19T22:40:22Z,Byterover Cipher is an opensource memory layer specifically designed for coding agents. Compatible w
